prompt,target
Predict the Tg of the following SMILES: C([Si](C)(*)C)*,-100.15
Predict the Tg of the following SMILES: C(*)[Si](*)(C)C,-100.15
Predict the Tg of the following SMILES: n1c(-c2ccccc2)c(*)nc2cc3nc(-c4cc(*)ccc4)c(-c4ccccc4)nc3cc12,394.85
Predict the Tg of the following SMILES: c1(-c2c(-c3cccc(*)c3)nc3c(cc4nc(-c5ccccc5)c(*)nc4c3)n2)ccccc1,394.85
Predict the Tg of the following SMILES: c12nc(*)c(-c3ccccc3)nc1cc1nc(-c3ccccc3)c(-c3cccc(*)c3)nc1c2,394.85
Predict the Tg of the following SMILES: c1c(*)cccc1-c1nc2cc3nc(*)c(-c4ccccc4)nc3cc2nc1-c1ccccc1,394.85
Predict the Tg of the following SMILES: c12nc(-c3ccccc3)c(-c3cc(*)ccc3)nc1cc1c(nc(-c3ccccc3)c(*)n1)c2,394.85
Predict the Tg of the following SMILES: c1(*)nc2cc3c(cc2nc1-c1ccccc1)nc(-c1ccccc1)c(-c1cc(*)ccc1)n3,394.85
Predict the Tg of the following SMILES: c12c(nc(-c3cc(*)ccc3)c(-c3ccccc3)n1)cc1nc(*)c(-c3ccccc3)nc1c2,394.85
Predict the Tg of the following SMILES: c12cc3c(nc(*)c(-c4ccccc4)n3)cc1nc(-c1cc(*)ccc1)c(-c1ccccc1)n2,394.85
Predict the Tg of the following SMILES: c1c2nc(-c3ccccc3)c(-c3cc(*)ccc3)nc2cc2nc(*)c(-c3ccccc3)nc12,394.85
Predict the Tg of the following SMILES: c1cccc(-c2nc3cc4nc(-c5ccccc5)c(-c5cccc(*)c5)nc4cc3nc2*)c1,394.85
Predict the Tg of the following SMILES: C(=O)(C(C*)*)NCCCC,45.85
Predict the Tg of the following SMILES: O=C(NCCCC)C(*)C*,45.85
Predict the Tg of the following SMILES: C(*)(C*)C(NCCCC)=O,45.85
Predict the Tg of the following SMILES: C(CCNC(=O)C(C*)*)C,45.85
Predict the Tg of the following SMILES: CCCCNC(=O)C(C*)*,45.85
Predict the Tg of the following SMILES: C(*)C(C(=O)NCCCC)*,45.85
Predict the Tg of the following SMILES: C(*)C(C(=O)NCCCC)*,45.85
Predict the Tg of the following SMILES: C(*)C(C(NCCCC)=O)*,45.85
Predict the Tg of the following SMILES: C(=O)(NCCCC)C(*)C*,45.85
Predict the Tg of the following SMILES: C(CCC)NC(C(*)C*)=O,45.85
Predict the Tg of the following SMILES: O(c1ccc(C(C)(c2ccc(*)cc2)CC)cc1)C(O*)=O,133.85
Predict the Tg of the following SMILES: c1(C(C)(c2ccc(OC(=O)O*)cc2)CC)ccc(*)cc1,133.85
Predict the Tg of the following SMILES: C(Oc1ccc(C(C)(CC)c2ccc(*)cc2)cc1)(O*)=O,133.85
Predict the Tg of the following SMILES: C(=O)(Oc1ccc(C(C)(c2ccc(*)cc2)CC)cc1)O*,133.85
Predict the Tg of the following SMILES: c1c(*)ccc(C(C)(c2ccc(OC(O*)=O)cc2)CC)c1,133.85
Predict the Tg of the following SMILES: c1(OC(=O)O*)ccc(C(c2ccc(*)cc2)(C)CC)cc1,133.85
Predict the Tg of the following SMILES: O=C(O*)Oc1ccc(C(CC)(c2ccc(*)cc2)C)cc1,133.85
Predict the Tg of the following SMILES: C(=O)(O*)Oc1ccc(C(CC)(c2ccc(*)cc2)C)cc1,133.85
Predict the Tg of the following SMILES: O(C(=O)O*)c1ccc(C(C)(CC)c2ccc(*)cc2)cc1,133.85
Predict the Tg of the following SMILES: c1c(OC(=O)O*)ccc(C(c2ccc(*)cc2)(C)CC)c1,133.85
Predict the Tg of the following SMILES: C(*)C(*)C(OC(C)(C)C)=O,41.85
Predict the Tg of the following SMILES: CC(C)(C)OC(=O)C(C*)*,41.85
Predict the Tg of the following SMILES: CC(C)(C)OC(=O)C(C*)*,41.85
Predict the Tg of the following SMILES: C(C)(OC(C(*)C*)=O)(C)C,41.85
Predict the Tg of the following SMILES: CC(C)(C)OC(C(*)C*)=O,41.85
Predict the Tg of the following SMILES: CC(C)(OC(C(C*)*)=O)C,41.85
Predict the Tg of the following SMILES: C(C*)(*)C(=O)OC(C)(C)C,41.85
Predict the Tg of the following SMILES: C(C*)(*)C(OC(C)(C)C)=O,41.85
Predict the Tg of the following SMILES: C(C(C*)*)(OC(C)(C)C)=O,41.85
Predict the Tg of the following SMILES: *CC(*)C(=O)OC(C)(C)C,41.85
Predict the Tg of the following SMILES: O=C(OCC(CC)CC)C(C*)(C)*,10.85
Predict the Tg of the following SMILES: C(C)(C(OCC(CC)CC)=O)(*)C*,10.85
Predict the Tg of the following SMILES: C(C(CC)COC(C(*)(C)C*)=O)C,10.85
Predict the Tg of the following SMILES: *CC(C)(*)C(=O)OCC(CC)CC,10.85
Predict the Tg of the following SMILES: C(OC(C(C*)(C)*)=O)C(CC)CC,10.85
Predict the Tg of the following SMILES: O(CC(CC)CC)C(=O)C(C*)(*)C,10.85
Predict the Tg of the following SMILES: *C(C(OCC(CC)CC)=O)(C*)C,10.85
Predict the Tg of the following SMILES: CCC(CC)COC(=O)C(C)(*)C*,10.85
Predict the Tg of the following SMILES: O(C(C(C*)(*)C)=O)CC(CC)CC,10.85
Predict the Tg of the following SMILES: C(*)C(C(OCC(CC)CC)=O)(*)C,10.85
Predict the Tg of the following SMILES: O(CCO*)C(=O)CCC(=O)*,-1.15
Predict the Tg of the following SMILES: O=C(CCC(*)=O)OCCO*,-1.15
Predict the Tg of the following SMILES: C(C(OCCO*)=O)CC(*)=O,-1.15
Predict the Tg of the following SMILES: C(CO*)OC(=O)CCC(*)=O,-1.15
Predict the Tg of the following SMILES: C(O*)COC(=O)CCC(=O)*,-1.15
Predict the Tg of the following SMILES: O=C(CCC(=O)*)OCCO*,-1.15
Predict the Tg of the following SMILES: C(CC(OCCO*)=O)C(*)=O,-1.15
Predict the Tg of the following SMILES: O=C(*)CCC(=O)OCCO*,-1.15
Predict the Tg of the following SMILES: C(COC(=O)CCC(=O)*)O*,-1.15
Predict the Tg of the following SMILES: O(CCO*)C(=O)CCC(*)=O,-1.15
Predict the Tg of the following SMILES: C(C(C)S*)*,-47.15
Predict the Tg of the following SMILES: CC(S*)C*,-47.15
Predict the Tg of the following SMILES: S(*)C(C)C*,-47.15
Predict the Tg of the following SMILES: *CC(S*)C,-47.15
Predict the Tg of the following SMILES: *CC(S*)C,-47.15
Predict the Tg of the following SMILES: *CC(S*)C,-47.15
Predict the Tg of the following SMILES: *SC(C*)C,-47.15
Predict the Tg of the following SMILES: S(*)C(C)C*,-47.15
Predict the Tg of the following SMILES: *CC(S*)C,-47.15
Predict the Tg of the following SMILES: CC(C*)S*,-47.15
Predict the Tg of the following SMILES: C(C(Cl)=CC*)*,-48.15
Predict the Tg of the following SMILES: C(=C(C*)Cl)C*,-48.15
Predict the Tg of the following SMILES: C(C(=CC*)Cl)*,-48.15
Predict the Tg of the following SMILES: *CC=C(C*)Cl,-48.15
Predict the Tg of the following SMILES: C(*)C(=CC*)Cl,-48.15
Predict the Tg of the following SMILES: *CC(Cl)=CC*,-48.15
Predict the Tg of the following SMILES: C(C(=CC*)Cl)*,-48.15
Predict the Tg of the following SMILES: C(C*)=C(C*)Cl,-48.15
Predict the Tg of the following SMILES: C(*)C=C(C*)Cl,-48.15
Predict the Tg of the following SMILES: C(C*)(Cl)=CC*,-48.15
Predict the Tg of the following SMILES: C[Si](CCC(F)(F)F)(O*)*,-74.15
Predict the Tg of the following SMILES: *[Si](C)(O*)CCC(F)(F)F,-74.15
Predict the Tg of the following SMILES: O(*)[Si](C)(*)CCC(F)(F)F,-74.15
Predict the Tg of the following SMILES: FC(CC[Si](*)(C)O*)(F)F,-74.15
Predict the Tg of the following SMILES: *O[Si](C)(*)CCC(F)(F)F,-74.15
Predict the Tg of the following SMILES: FC(F)(CC[Si](C)(*)O*)F,-74.15
Predict the Tg of the following SMILES: C[Si](*)(O*)CCC(F)(F)F,-74.15
Predict the Tg of the following SMILES: FC(F)(F)CC[Si](*)(O*)C,-74.15
Predict the Tg of the following SMILES: C(C[Si](*)(O*)C)C(F)(F)F,-74.15
Predict the Tg of the following SMILES: O([Si](CCC(F)(F)F)(*)C)*,-74.15
Predict the Tg of the following SMILES: c1c(C(C*)*)cc(C)cc1C,103.85
Predict the Tg of the following SMILES: c1c(C)cc(C(C*)*)cc1C,103.85
Predict the Tg of the following SMILES: c1c(C)cc(C)cc1C(*)C*,103.85
Predict the Tg of the following SMILES: c1c(C)cc(C)cc1C(*)C*,103.85
Predict the Tg of the following SMILES: c1(C)cc(C(*)C*)cc(C)c1,103.85
Predict the Tg of the following SMILES: C(C(c1cc(C)cc(C)c1)*)*,103.85
Predict the Tg of the following SMILES: c1c(C)cc(C)cc1C(*)C*,103.85
Predict the Tg of the following SMILES: Cc1cc(C)cc(C(*)C*)c1,103.85
Predict the Tg of the following SMILES: *C(C*)c1cc(C)cc(C)c1,103.85
Predict the Tg of the following SMILES: c1(C)cc(C)cc(C(*)C*)c1,103.85
Predict the Tg of the following SMILES: *CC(*)C#N,104.85
Predict the Tg of the following SMILES: C(#N)C(*)C*,104.85
Predict the Tg of the following SMILES: N#CC(*)C*,104.85
Predict the Tg of the following SMILES: C(*)(C*)C#N,104.85
Predict the Tg of the following SMILES: *C(C#N)C*,104.85
Predict the Tg of the following SMILES: C(*)C(C#N)*,104.85
Predict the Tg of the following SMILES: C(C*)(C#N)*,104.85
Predict the Tg of the following SMILES: C(C(*)C*)#N,104.85
Predict the Tg of the following SMILES: *CC(C#N)*,104.85
Predict the Tg of the following SMILES: C(C#N)(C*)*,104.85
Predict the Tg of the following SMILES: *CC(*)C(C)C=O,71.85
Predict the Tg of the following SMILES: C(C(C*)*)(C)C=O,71.85
Predict the Tg of the following SMILES: *C(C*)C(C)C=O,71.85
Predict the Tg of the following SMILES: O=CC(C(C*)*)C,71.85
Predict the Tg of the following SMILES: O=CC(C(*)C*)C,71.85
Predict the Tg of the following SMILES: C(C)(C(*)C*)C=O,71.85
Predict the Tg of the following SMILES: C(C)(C=O)C(C*)*,71.85
Predict the Tg of the following SMILES: C(C=O)(C)C(*)C*,71.85
Predict the Tg of the following SMILES: O=CC(C(C*)*)C,71.85
Predict the Tg of the following SMILES: C(*)(C*)C(C)C=O,71.85
Predict the Tg of the following SMILES: C(*)CO*,-67.15
Predict the Tg of the following SMILES: *CCO*,-67.15
Predict the Tg of the following SMILES: C(CO*)*,-67.15
Predict the Tg of the following SMILES: *OCC*,-67.15
Predict the Tg of the following SMILES: C(C*)O*,-67.15
Predict the Tg of the following SMILES: C(O*)C*,-67.15
Predict the Tg of the following SMILES: O(*)CC*,-67.15
Predict the Tg of the following SMILES: *CCO*,-67.15
Predict the Tg of the following SMILES: C(C*)O*,-67.15
Predict the Tg of the following SMILES: C(O*)C*,-67.15
Predict the Tg of the following SMILES: O(CCCCCC)C(C(C*)(*)C)=O,-5.15
Predict the Tg of the following SMILES: C(CCCCOC(=O)C(*)(C*)C)C,-5.15
Predict the Tg of the following SMILES: C(*)C(C(=O)OCCCCCC)(C)*,-5.15
Predict the Tg of the following SMILES: O(CCCCCC)C(C(C*)(C)*)=O,-5.15
Predict the Tg of the following SMILES: C(COC(=O)C(*)(C)C*)CCCC,-5.15
Predict the Tg of the following SMILES: O(CCCCCC)C(C(C)(*)C*)=O,-5.15
Predict the Tg of the following SMILES: C(CCOC(C(C*)(C)*)=O)CCC,-5.15
Predict the Tg of the following SMILES: C(CCOC(=O)C(C*)(*)C)CCC,-5.15
Predict the Tg of the following SMILES: O=C(OCCCCCC)C(*)(C)C*,-5.15
Predict the Tg of the following SMILES: *CC(C)(*)C(OCCCCCC)=O,-5.15
Predict the Tg of the following SMILES: c1cc(C(C*)*)c(Cl)cc1,118.85
Predict the Tg of the following SMILES: c1(C(*)C*)c(Cl)cccc1,118.85
Predict the Tg of the following SMILES: c1ccc(C(C*)*)c(Cl)c1,118.85
Predict the Tg of the following SMILES: c1cccc(Cl)c1C(*)C*,118.85
Predict the Tg of the following SMILES: Clc1c(C(*)C*)cccc1,118.85
Predict the Tg of the following SMILES: *C(c1ccccc1Cl)C*,118.85
Predict the Tg of the following SMILES: c1ccc(C(C*)*)c(Cl)c1,118.85
Predict the Tg of the following SMILES: c1(C(C*)*)ccccc1Cl,118.85
Predict the Tg of the following SMILES: C(*)C(*)c1c(Cl)cccc1,118.85
Predict the Tg of the following SMILES: *CC(*)c1c(Cl)cccc1,118.85
Predict the Tg of the following SMILES: C(CCOC(=O)C(C*)(C)*)(C)(C)C,44.85
Predict the Tg of the following SMILES: *CC(*)(C)C(=O)OCCC(C)(C)C,44.85
Predict the Tg of the following SMILES: CC(*)(C(=O)OCCC(C)(C)C)C*,44.85
Predict the Tg of the following SMILES: C(C)(CCOC(=O)C(*)(C)C*)(C)C,44.85
Predict the Tg of the following SMILES: C(C(C)(*)C*)(OCCC(C)(C)C)=O,44.85
Predict the Tg of the following SMILES: CC(CCOC(=O)C(*)(C*)C)(C)C,44.85
Predict the Tg of the following SMILES: CC(C)(CCOC(=O)C(*)(C)C*)C,44.85
Predict the Tg of the following SMILES: C(*)C(*)(C)C(=O)OCCC(C)(C)C,44.85
Predict the Tg of the following SMILES: C(C(C)(C(OCCC(C)(C)C)=O)*)*,44.85
Predict the Tg of the following SMILES: *CC(C)(C(OCCC(C)(C)C)=O)*,44.85
Predict the Tg of the following SMILES: c1(CC)cc(C*)ccc1C*,24.85
Predict the Tg of the following SMILES: c1c(CC)c(C*)ccc1C*,24.85
Predict the Tg of the following SMILES: c1(CC)c(C*)ccc(C*)c1,24.85
Predict the Tg of the following SMILES: CCc1c(C*)ccc(C*)c1,24.85
Predict the Tg of the following SMILES: CCc1cc(C*)ccc1C*,24.85
Predict the Tg of the following SMILES: C(c1c(C*)ccc(C*)c1)C,24.85
Predict the Tg of the following SMILES: c1(CC)c(C*)ccc(C*)c1,24.85
Predict the Tg of the following SMILES: c1(CC)cc(C*)ccc1C*,24.85
Predict the Tg of the following SMILES: c1(CC)c(C*)ccc(C*)c1,24.85
Predict the Tg of the following SMILES: C(c1cc(CC)c(C*)cc1)*,24.85
Predict the Tg of the following SMILES: O=C(CCCCCCCCN*)*,50.85
Predict the Tg of the following SMILES: O=C(*)CCCCCCCCN*,50.85
Predict the Tg of the following SMILES: C(CCC(*)=O)CCCCCN*,50.85
Predict the Tg of the following SMILES: C(CCC(*)=O)CCCCCN*,50.85
Predict the Tg of the following SMILES: C(*)(=O)CCCCCCCCN*,50.85
Predict the Tg of the following SMILES: C(C(=O)*)CCCCCCCN*,50.85
Predict the Tg of the following SMILES: C(CN*)CCCCCCC(=O)*,50.85
Predict the Tg of the following SMILES: N(CCCCCCCCC(*)=O)*,50.85
Predict the Tg of the following SMILES: C(CCCCN*)CCCC(=O)*,50.85
Predict the Tg of the following SMILES: C(CCCCCCC(*)=O)CN*,50.85
Predict the Tg of the following SMILES: c1cccc(-c2c(-c3ccc(-c4ccc(*)cc4)cc3)nc3ccc(Oc4ccc5c(c(-c6ccccc6)c(-c6ccccc6)c(*)n5)c4)cc3c2-c2ccccc2)c1,350.85
Predict the Tg of the following SMILES: c1cc2nc(*)c(-c3ccccc3)c(-c3ccccc3)c2cc1Oc1ccc2c(c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc(-c4ccc(*)cc4)cc3)n2)c1,350.85
Predict the Tg of the following SMILES: c1c(Oc2ccc3c(c(-c4ccccc4)c(-c4ccccc4)c(*)n3)c2)cc2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc(-c4ccc(*)cc4)cc3)nc2c1,350.85
Predict the Tg of the following SMILES: c1cccc(-c2c(-c3ccccc3)c3cc(Oc4cc5c(cc4)nc(-c4ccc(-c6ccc(*)cc6)cc4)c(-c4ccccc4)c5-c4ccccc4)ccc3nc2*)c1,350.85
Predict the Tg of the following SMILES: *c1nc2c(c(-c3ccccc3)c1-c1ccccc1)cc(Oc1ccc3c(c1)c(-c1ccccc1)c(-c1ccccc1)c(-c1ccc(-c4ccc(*)cc4)cc1)n3)cc2,350.85
Predict the Tg of the following SMILES: c1ccc(-c2c(-c3ccc(-c4ccc(*)cc4)cc3)nc3c(c2-c2ccccc2)cc(Oc2cc4c(cc2)nc(*)c(-c2ccccc2)c4-c2ccccc2)cc3)cc1,350.85
Predict the Tg of the following SMILES: c1cc(Oc2cc3c(nc(-c4ccc(-c5ccc(*)cc5)cc4)c(-c4ccccc4)c3-c3ccccc3)cc2)cc2c(-c3ccccc3)c(-c3ccccc3)c(*)nc12,350.85
Predict the Tg of the following SMILES: c1ccccc1-c1c2c(nc(-c3ccc(-c4ccc(*)cc4)cc3)c1-c1ccccc1)ccc(Oc1cc3c(cc1)nc(*)c(-c1ccccc1)c3-c1ccccc1)c2,350.85
Predict the Tg of the following SMILES: c1(-c2c(-c3ccc(-c4ccc(*)cc4)cc3)nc3c(cc(Oc4ccc5nc(*)c(-c6ccccc6)c(-c6ccccc6)c5c4)cc3)c2-c2ccccc2)ccccc1,350.85
Predict the Tg of the following SMILES: c1ccccc1-c1c(-c2ccccc2)c2c(nc1-c1ccc(-c3ccc(*)cc3)cc1)ccc(Oc1ccc3nc(*)c(-c4ccccc4)c(-c4ccccc4)c3c1)c2,350.85
Predict the Tg of the following SMILES: C[Si](*)(N*)C,-82.15
Predict the Tg of the following SMILES: N([Si](C)(C)*)*,-82.15
Predict the Tg of the following SMILES: *[Si](C)(C)N*,-82.15
Predict the Tg of the following SMILES: C[Si](*)(N*)C,-82.15
Predict the Tg of the following SMILES: C[Si](*)(C)N*,-82.15
Predict the Tg of the following SMILES: [Si](C)(C)(*)N*,-82.15
Predict the Tg of the following SMILES: *[Si](C)(N*)C,-82.15
Predict the Tg of the following SMILES: N(*)[Si](C)(C)*,-82.15
Predict the Tg of the following SMILES: C[Si](C)(N*)*,-82.15
Predict the Tg of the following SMILES: C[Si](C)(N*)*,-82.15
Predict the Tg of the following SMILES: c1ccc(-c2c3c(ccc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)c3)nc(-c3ccc(-c4ccc(*)cc4)cc3)c2)cc1,307.85
Predict the Tg of the following SMILES: c1ccc(-c2c3cc(Oc4cc5c(cc4)nc(-c4ccc(-c6ccc(*)cc6)cc4)cc5-c4ccccc4)ccc3nc(*)c2)cc1,307.85
Predict the Tg of the following SMILES: c1c2c(-c3ccccc3)cc(*)nc2ccc1Oc1ccc2c(c1)c(-c1ccccc1)cc(-c1ccc(-c3ccc(*)cc3)cc1)n2,307.85
Predict the Tg of the following SMILES: c1c(-c2ccc(*)cc2)ccc(-c2cc(-c3ccccc3)c3cc(Oc4cc5c(-c6ccccc6)cc(*)nc5cc4)ccc3n2)c1,307.85
Predict the Tg of the following SMILES: c1c(-c2ccccc2)c2c(nc1*)ccc(Oc1ccc3c(c(-c4ccccc4)cc(-c4ccc(-c5ccc(*)cc5)cc4)n3)c1)c2,307.85
Predict the Tg of the following SMILES: c1ccccc1-c1cc(-c2ccc(-c3ccc(*)cc3)cc2)nc2c1cc(Oc1cc3c(nc(*)cc3-c3ccccc3)cc1)cc2,307.85
Predict the Tg of the following SMILES: c1cc(Oc2ccc3nc(*)cc(-c4ccccc4)c3c2)cc2c1nc(-c1ccc(-c3ccc(*)cc3)cc1)cc2-c1ccccc1,307.85
Predict the Tg of the following SMILES: c12c(nc(*)cc1-c1ccccc1)ccc(Oc1ccc3nc(-c4ccc(-c5ccc(*)cc5)cc4)cc(-c4ccccc4)c3c1)c2,307.85
Predict the Tg of the following SMILES: n1c(*)cc(-c2ccccc2)c2c1ccc(Oc1cc3c(nc(-c4ccc(-c5ccc(*)cc5)cc4)cc3-c3ccccc3)cc1)c2,307.85
Predict the Tg of the following SMILES: c1c(-c2ccccc2)c2c(nc1*)ccc(Oc1cc3c(nc(-c4ccc(-c5ccc(*)cc5)cc4)cc3-c3ccccc3)cc1)c2,307.85
Predict the Tg of the following SMILES: *C(C(=O)OC)(C)C*,104.85
Predict the Tg of the following SMILES: O=C(C(C*)(C)*)OC,104.85
Predict the Tg of the following SMILES: *C(C)(C(OC)=O)C*,104.85
Predict the Tg of the following SMILES: C(C(C)(*)C(OC)=O)*,104.85
Predict the Tg of the following SMILES: C(*)(C(OC)=O)(C*)C,104.85
Predict the Tg of the following SMILES: C(C(C*)(C)*)(=O)OC,104.85
Predict the Tg of the following SMILES: O=C(OC)C(*)(C)C*,104.85
